"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 04 07:03:35 GMT 2025","Thu Sep 04 07:03:35 GMT 2025","12","tests.api","Продукты","TestProducts","","","Получение продукта по ID","Проверка соответствия данных из API и БД при запросе по ID"
"passed","Thu Sep 04 07:03:35 GMT 2025","Thu Sep 04 07:03:35 GMT 2025","14","tests.api","Продукты","TestProducts","","","Удаление продукта по ID","Проверка успешного удаления продукта и отсутствия его в БД"
"passed","Thu Sep 04 07:03:35 GMT 2025","Thu Sep 04 07:03:35 GMT 2025","54","tests.api","Продукты","TestProducts","","","Создание нового продукта","Проверка успешного создания продукта через API и его наличия в БД"
"passed","Thu Sep 04 07:03:34 GMT 2025","Thu Sep 04 07:03:34 GMT 2025","51","tests.api","Заказы","TestOrders","","","Изменение количества товара в заказе","Проверка успешного изменения количества товара в заказе через API"
"passed","Thu Sep 04 07:03:35 GMT 2025","Thu Sep 04 07:03:35 GMT 2025","49","tests.api","Продукты","TestProducts","","","Получение всех продуктов","Проверка соответствия данных из API и БД"
"passed","Thu Sep 04 07:03:34 GMT 2025","Thu Sep 04 07:03:34 GMT 2025","529","tests.api","Заказы","TestOrders","","","Создание нового заказа","Проверка успешного создания заказа и его данных в БД"
"passed","Thu Sep 04 07:03:35 GMT 2025","Thu Sep 04 07:03:35 GMT 2025","81","tests.api","Заказы","TestOrders","","","Удаление заказа по ID","Проверка успешного удаления заказа и его данных в БД"
"passed","Thu Sep 04 07:03:35 GMT 2025","Thu Sep 04 07:03:35 GMT 2025","25","tests.api","Продукты","TestProducts","","","Обновление количества продукта","Проверка успешного изменения qty продукта через API"
"passed","Thu Sep 04 07:03:34 GMT 2025","Thu Sep 04 07:03:34 GMT 2025","94","tests.api","Заказы","TestOrders","","","Получение заказа по ID","Проверка соответствия данных из API и БД при запросе по ID"
